"job_id","company_name","job_title","salary_year_avg","job_posted_date","skills_list"
479965,"InvestM Technology LLC","Data Analyst","135000.0","2023-02-26 01:04:44","power bi,excel,sql"
513988,"Get It Recruit - Hospitality","Data Analyst - Advanced Analytics","135000.0","2023-08-27 10:00:07","r,sql,python,sas,sas"
777802,"Robert Half","Lead Data Analyst / SQL Developer","135000.0","2023-10-13 00:02:19","c,sql server,go,python,sql"
1326467,"EPIC Brokers","Data Analyst","135000.0","2023-06-26 17:00:18","excel"
262837,"Osmind","Quantitative Scientist (Remote)","132500.0","2023-01-28 08:04:56","sql,python,r"
311931,"SoftDev Incorporated","Data Analyst III","132500.0","2023-09-16 13:02:26","sql,r,python,sheets"
990420,"Get It Recruit - Information Technology","Data Insights Analyst III","132500.0","2023-12-12 08:17:27","tableau,sql,python,r"
21451,"ApTask","Data Analyst must have telecom domain experince","130000.0","2023-04-28 13:56:12","flow,sql,python,sheets"
92703,"Launch Consulting Group","Sr. Data Analyst","130000.0","2023-09-19 13:01:02","dax,power bi,tableau,excel,snowflake,aws,sql,azure,jira,flow,visio"
447569,"Kforce Technology Staffing","Lead Data Analyst","130000.0","2023-05-03 23:00:16","tableau,sql,python,r,databricks,aws,redshift,snowflake"
1209798,"Doximity","Data Analyst","130000.0","2023-05-08 19:02:19","numpy,pandas,spark,python,sql,github,git,unix"
1531276,"Alpha Silicon","System Data Analyst","130000.0","2023-04-11 20:00:42","sql,flow,sheets,python"
1686779,"Get It Recruit - Information Technology","Data Insights Manager","130000.0","2023-12-09 09:00:33","python,r,excel,sql server,tableau,power bi,sql"
1566076,"Lonza","Manager, Data Analytics (Bioscience) - Remote","129000.0","2023-09-19 14:00:05","python,power bi"
1148444,"Acorns","Data Analyst","127000.0","2023-06-22 21:00:56","outlook"
1791785,"Cash App","Marketing Data Analyst (Remote)","127000.0","2023-03-09 07:01:13","twilio,c,go,sql"
592669,"ICF","Behavioral Health Data Analyst- REMOTE","126452.0","2023-07-25 17:41:14","spss,sql,python,r,sas,tableau,sas"
116211,"UnitedHealthcare","Sr Data Analyst - Remote","126000.0","2023-08-31 20:00:20","ssis,sql,sql server,ssrs"
502626,"UnitedHealth Group","Sr Data Analyst, Consultant - Client Facing - Remote","126000.0","2023-02-25 14:00:24","sql,python,r,sas,aws,sas"
1735665,"USAA","Mid-Level Decision Science Analyst","125930.0","2023-10-01 08:01:11","sql,sas,phoenix,sas"
748965,"Uber","Strategy and Data Analyst, Sustainability","125500.0","2023-12-14 08:00:06","sql,python,r,go"
285447,"Robert Half","Data Analyst","125000.0","2023-05-26 14:59:59","flow"
300502,"Get It Recruit - Real Estate","Healthcare Data Analyst","125000.0","2023-08-18 17:00:58","shell,bigquery,redshift,spark,airflow,jupyter,python,sql"
400967,"PWR Staffing & Recruiting","Healthcare Data Analyst (Manager)- $120,000-130,000/yr | Remote in PST","125000.0","2023-08-21 22:01:23","sql"
595967,"Starbridge Partners","Data Science Analyst 2 (Pop Health)","125000.0","2023-01-11 21:06:26","sas,r,python,sql,sas"
900945,"The Walt Disney Company","Data Analyst","125000.0","2023-12-27 13:01:03","sql,r,sas,databricks,snowflake,sas,spss,python"
1216840,"hims & hers","Data Analyst, Operations (Remote)","125000.0","2023-02-01 07:01:02","sql,python,r,bash,postgresql,bigquery,airflow,looker"
1229773,"Infinity Consulting Solutions, Inc.","Manager, Data Analytics & Reporting - Remote","125000.0","2023-03-14 04:02:08","notion,excel,go,sql"
1551308,"Get It Recruit - Information Technology","Investment Data and Analytics Manager","125000.0","2023-12-12 08:17:55","tableau,alteryx,python,sql,flow,r,vba,excel"
1682817,"Blackstone Consulting, Inc.","Data Analyst: regional physical security","124500.0","2023-05-27 01:00:43","power bi,word,sharepoint,excel,powerpoint,microsoft teams"
821092,"Cloudflare","Data Analyst, Support Operations","124000.0","2023-02-17 19:02:22","sql,python,r,tableau,looker"
631753,"Get It Recruit - Information Technology","Data Analytics Manager","123000.0","2023-07-30 11:00:50","sql,tableau,power bi,looker"
596565,"ICF","Lead Analyst - Data Analytics - Remote","122769.0","2023-08-31 20:30:00","power bi,sql,python,tableau"
238020,"Innova Solutions","Business Data Analyst with SQL (Strong)","122500.0","2023-06-19 17:01:37","sql,aws,jira,confluence"
1015777,"Analytic Recruiting Inc.","Decision Science Analyst - Consumer Lending","122500.0","2023-01-20 19:22:47","tableau,sas,sql,python,sas,snowflake"
298860,"Cloudflare","Sales Ops Data Analyst (Austin, TX or Remote)","122000.0","2023-08-01 23:01:46","sql,bigquery,tableau,sheets"
426033,"CloudFlare","Sales Ops Data Analyst (Remote)","122000.0","2023-08-01 23:00:59","sql,bigquery,tableau,sheets"
236172,"Get It Recruit - Information Technology","Data Analytics Analyst","120000.0","2023-11-04 09:00:10","power bi,sharepoint,powerpoint,outlook,visio,excel,tableau"
587198,"Motion Recruitment","Data Architect","120000.0","2023-07-18 06:35:18","tableau,sql,azure,aws,bigquery,redshift,snowflake,gcp"
999820,"LAI","Business Intelligence Data Analyst","120000.0","2023-11-29 16:00:03","jira,sql,go,excel,tableau,word,kubernetes,confluence"
1191992,"Robert Half","Business Data Analyst","120000.0","2023-04-04 15:56:17","tableau,sql,power bi"
1611348,"M13","Lifeforce: Data Analyst (Remote)","120000.0","2023-04-17 22:59:57","sql,r,sas,sas,spss"
1132443,"US Development Finance Corporation (formerly Overseas Private Investment Corporation)","Risk Data Analyst","119908.0","2023-06-20 16:00:30","python,vba,tableau,power bi"
446029,"CVS Health","Data Analyst - Predictive Modeling","119200.0","2023-06-09 08:00:23","sql,python,hadoop,tableau"
876656,"CVS Health","Data Analyst","119200.0","2023-03-25 07:59:55","sql,python,hadoop,tableau"
945180,"Get It Recruit - Healthcare","Data Analyst","117713.0","2023-11-13 10:59:58","excel,tableau,word,powerpoint,ms access"
436153,"Robert Half","Lead Data Analyst / SQL Developer","117500.0","2023-12-27 20:01:58","sql server,sql,python,go,c"
685438,"Jobot","Data Analyst","117500.0","2023-09-12 23:00:51","sql,python,tableau"
1124418,"Get It Recruit - Information Technology","Lead Data Analyst","117500.0","2023-12-28 10:22:27","sql server,python,sql"
131427,"Get It Recruit - Information Technology","Data Analyst","117000.0","2023-11-12 09:00:25","sql,python,tableau,looker"
16358,"Kern Health Systems","BI Data Analyst IV","115791.5","2023-01-06 16:01:23","excel,sas,sql,sas"
1574716,"Kern Health Systems","BI Data Analyst IV","115791.5","2023-01-05 04:01:12","sas,sas,sql,excel"
1788827,"Kern Health Systems","Data Analyst","115791.5","2023-04-14 20:01:05","sql,sas,excel,sas"
24351,"ManyPets","Data Analyst","115000.0","2023-04-21 14:55:10","sql,excel,tableau"
156483,"Robert Half","Data/Information Architect","115000.0","2023-07-06 19:33:59","tableau,python,postgresql,snowflake,sql"
198747,"Robert Half","Business Data Analyst","115000.0","2023-02-07 19:44:58","power bi,sql,tableau"
357990,"Robert Half","Data Analyst","115000.0","2023-01-19 17:00:07","sql server,sql,power bi,oracle,databricks,tableau,azure"
1139755,"Lighthouse Professional Services","Data Analyst","115000.0","2023-06-01 19:00:07","sql,python,r,vba,snowflake,tableau,power bi,dax,powerpoint,alteryx"
1403108,"Get It Recruit - Information Technology","Data Analyst","115000.0","2023-12-24 09:00:30","sql,python"
1772547,"Medasource","QNXT/TriZetto Data Analyst","115000.0","2023-01-11 16:02:49","excel,azure,sql server,sql"
945577,"ICF","Behavioral Health Data Analyst","114956.5","2023-10-24 23:09:53","sql,python,r,sas,tableau,sas,spss"
467403,"Get It Recruit - Healthcare","Healthcare Analytics Expert","114948.0","2023-08-13 19:01:28","python,r,sas,tableau,power bi,sas"
857003,"ICF","Behavioral Health Data Analyst","114805.0","2023-09-22 16:57:25","sql,python,r,sas,tableau,sas,spss"
1566879,"Uber","Data Analyst, Global Business Development","114000.0","2023-11-01 07:01:10","sql,python,r,tableau,looker"
